category,october,november,december,q4_total,notes
Salaries,185000,185000,195000,565000,December includes bonuses
Cloud Infrastructure,42000,45000,48000,135000,AWS + GCP costs increasing
Marketing,25000,35000,45000,105000,Holiday campaign push
Office & Facilities,12000,12000,12000,36000,Stable
Software Licenses,8500,8500,9200,26200,Added new tools in Dec
Travel,5000,3000,2000,10000,Reduced end of year
Legal & Compliance,4000,4000,15000,23000,Annual audit in December
R&D Equipment,0,25000,0,25000,New dev machines
Contractor Fees,18000,22000,28000,68000,Scaling for project Alpha
Miscellaneous,3500,4500,5800,13800,Various
TOTAL,303000,344000,360000,1007000,
